iter	Logloss
0	0.6894845962
1	0.6860593956
2	0.6826938707
3	0.6793433867
4	0.6761241645
5	0.6729547344
6	0.6698985849
7	0.6668113524
8	0.6639177513
9	0.6609962221
10	0.6580541091
11	0.6552684897
12	0.6525394107
13	0.6499122723
14	0.6472774715
15	0.6448391874
16	0.6423102544
17	0.639909827
18	0.6375257679
19	0.6351868577
20	0.6329147145
21	0.6307226825
22	0.6285405616
23	0.6264037118
24	0.6243102191
25	0.6222733403
26	0.6202220743
27	0.6182687524
28	0.6164139338
29	0.6144990026
30	0.612686915
31	0.6109321659
32	0.6090698505
33	0.6074231484
34	0.6057301353
35	0.6040900466
36	0.6024314734
37	0.6008601799
38	0.5993608413
39	0.597869667
40	0.5963378461
41	0.5948975113
42	0.5935126631
43	0.5920948493
44	0.5907991017
45	0.5894597706
46	0.5882078436
47	0.5868962185
48	0.5857059676
49	0.5844908897
50	0.5832654766
51	0.5820949501
52	0.5809816359
53	0.5798641281
54	0.5787902674
55	0.5776966906
56	0.5766736908
57	0.5756176622
58	0.5746512073
59	0.5736444392
60	0.5727740907
61	0.5718237976
62	0.5708950926
63	0.5700482136
64	0.569161007
65	0.568298377
66	0.5674202099
67	0.5666290877
68	0.565814344
69	0.5650469347
70	0.5643245459
71	0.5635921636
72	0.5627677262
73	0.5620885832
74	0.561362483
75	0.5606403626
76	0.5599657531
77	0.5592991771
78	0.5586563437
79	0.5580183729
80	0.5573878609
81	0.5567766235
82	0.5561870195
83	0.5555673785
84	0.554979551
85	0.554395281
86	0.5538341349
87	0.5533121005
88	0.5528343253
89	0.5522735743
90	0.5517925509
91	0.5512536829
92	0.55076106
93	0.5503311658
94	0.5497988651
95	0.5493332703
96	0.5489274991
97	0.548448671
98	0.548063457
99	0.5475566416
100	0.5471870043
101	0.5467663004
102	0.5463849384
103	0.5459535913
104	0.5455959179
105	0.5451735325
106	0.5448504761
107	0.5444342929
108	0.5440860165
109	0.5437801842
110	0.5433798907
111	0.5430392757
112	0.5427488421
113	0.5424224789
114	0.5420844852
115	0.5417880031
116	0.5414723629
117	0.5411510185
118	0.5408951634
119	0.5405736473
120	0.5403119751
121	0.5400543422
122	0.5397914811
123	0.5394924509
124	0.5391860353
125	0.5389233131
126	0.5386903356
127	0.5384180565
128	0.538188509
129	0.5379654318
130	0.5377208213
131	0.5374738793
132	0.53725364
133	0.5370327444
134	0.536818414
135	0.5366033606
136	0.5364004387
137	0.5361879593
138	0.5359958921
139	0.5358075025
140	0.5356069239
141	0.5354711396
142	0.5352610543
143	0.5350690236
144	0.5349246762
145	0.5347242293
146	0.5345255596
147	0.5343450833
148	0.5341814307
149	0.5340675287
150	0.5339018027
151	0.5337279642
152	0.5335252558
153	0.5333971634
154	0.5332625551
155	0.5331149798
156	0.5329235684
157	0.532798413
158	0.5326805754
159	0.5325426424
160	0.5323547824
161	0.5322685582
162	0.532133599
163	0.5319484693
164	0.5318209973
165	0.5317539098
166	0.5315780183
167	0.5314965302
168	0.5313649862
169	0.5311956995
170	0.5311488269
171	0.5310335622
172	0.5308710648
173	0.530791594
174	0.5306709017
175	0.5306191115
176	0.5305143752
177	0.5303747269
178	0.530324572
179	0.5302102023
180	0.5301074747
181	0.5299904627
182	0.5299305188
183	0.5298260998
184	0.5297623233
185	0.5296619389
186	0.5296028637
187	0.5295032023
188	0.5293825089
189	0.5293385551
190	0.5292695394
191	0.5291572863
192	0.5291054806
193	0.5289921124
194	0.528949599
195	0.5288440925
196	0.52879795
197	0.5286813835
198	0.5286465662
199	0.5285290008
200	0.5284967917
201	0.5284241173
202	0.5283869379
203	0.5282670297
204	0.5282231956
205	0.5281736034
206	0.528062955
207	0.5280643181
208	0.527965459
209	0.5279215732
210	0.5278833727
211	0.5277772424
212	0.527760516
213	0.5276768234
214	0.5276223655
215	0.5275860939
216	0.5275206417
217	0.527482257
218	0.5274239108
219	0.5273214144
220	0.5273335502
221	0.5272849711
222	0.527172549
223	0.5271734056
224	0.5271318896
225	0.527033023
226	0.5270267461
227	0.5269222379
228	0.5268743034
229	0.5268775076
230	0.5268324102
231	0.5267746491
232	0.5267426638
233	0.5266967015
234	0.5266321142
235	0.5265910621
236	0.5265881305
237	0.5265602321
238	0.5264583684
239	0.5264649046
240	0.5264434228
241	0.5263761827
242	0.5263301065
243	0.52633524
244	0.5262964051
245	0.526244421
246	0.5262026591
247	0.5262081361
248	0.5261501537
249	0.5260913943
250	0.5260463137
251	0.5260176031
252	0.5259479968
253	0.5259068743
254	0.5259043811
255	0.5259148268
256	0.5258162258
257	0.5258248696
258	0.5257856991
259	0.5257904631
260	0.5257271297
261	0.5256852656
262	0.5256383634
263	0.5256517608
264	0.5256175224
265	0.5255663985
266	0.5255635905
267	0.5255086876
268	0.5255078084
269	0.5254801516
270	0.5254182442
271	0.5254175521
272	0.5253802022
273	0.5253800814
274	0.5253383447
275	0.5252908779
276	0.525288489
277	0.525242051
278	0.5252516096
279	0.5251983279
280	0.52519634
281	0.5251483285
282	0.5251131318
283	0.5251032657
284	0.5251125785
285	0.5250728632
286	0.5250002079
287	0.5250162305
288	0.5249721982
289	0.5249681145
290	0.5249820712
291	0.5249324488
292	0.5248746327
293	0.5248864557
294	0.5248399525
295	0.5248430583
296	0.5248424422
297	0.5247969052
298	0.5248141443
299	0.5247506457
300	0.5247038527
301	0.5247089289
302	0.5247113174
303	0.5247119846
304	0.5246649441
305	0.5246708744
306	0.5246109396
307	0.5246109029
308	0.5245683081
309	0.5245702641
310	0.5245707673
311	0.5245846659
312	0.524524408
313	0.5245289682
314	0.5244718283
315	0.5244760786
316	0.5244287955
317	0.524434317
318	0.524438036
319	0.5244419038
320	0.524395665
321	0.5243968024
322	0.5243408793
323	0.52433335
324	0.5242982319
325	0.5242915888
326	0.5243043874
327	0.5243077888
328	0.5243019334
329	0.524250564
330	0.5242544257
331	0.5241957783
332	0.5241867364
333	0.5242023746
334	0.5241459092
335	0.5241519007
336	0.5241564106
337	0.524162157
338	0.5241194728
339	0.5241265409
340	0.5241299664
341	0.5240741792
342	0.524071478
343	0.5240268347
344	0.5240177561
345	0.5240315907
346	0.5240335427
347	0.5240303101
348	0.5239810441
349	0.523982079
350	0.5239763301
351	0.5239741236
352	0.5239080001
353	0.5239097707
354	0.5239053941
355	0.5238632552
356	0.5238671641
357	0.5238599831
358	0.5238676798
359	0.5238729122
360	0.5238782458
361	0.5238242225
362	0.5238288843
363	0.5238340923
364	0.5237663344
365	0.5237661178
366	0.5237605878
367	0.5237641502
368	0.5237196032
369	0.5237184248
370	0.5237230314
371	0.5237297893
372	0.5237215482
373	0.523728158
374	0.5236686048
375	0.5236730871
376	0.5236661078
377	0.5236670048
378	0.5236592082
379	0.5236057046
380	0.5236111436
381	0.5236052849
382	0.5235955838
383	0.5235533543
384	0.5235596878
385	0.5235580042
386	0.5235462742
387	0.5235537597
388	0.5235578109
389	0.5235516639
390	0.5235447191
391	0.5234894355
392	0.5234914712
393	0.5234991891
394	0.5234936788
395	0.5234842957
396	0.5234276782
397	0.5234395831
398	0.523433634
399	0.5234255741
400	0.5233845342
401	0.5233921466
402	0.5233902308
403	0.5233801196
404	0.5233867723
405	0.5233846246
406	0.5233879374
407	0.5233916643
408	0.5233759279
409	0.5233670021
410	0.523321912
411	0.5233324056
412	0.5233392595
413	0.5233237618
414	0.52332697
415	0.5232602099
416	0.5232665383
417	0.5232703931
418	0.5232543192
419	0.5232486891
420	0.5232541127
421	0.5232139481
422	0.5232038946
423	0.5231971077
424	0.5231890644
425	0.5231966769
426	0.5232044834
427	0.5232014155
428	0.5232033296
429	0.523188538
430	0.5231839489
431	0.523187259
432	0.5231841235
433	0.5231464341
434	0.5231504518
435	0.52314444
436	0.5231234791
437	0.5231207504
438	0.5231237526
439	0.5231185958
440	0.5230670116
441	0.5230622342
442	0.5230650261
443	0.5230600431
444	0.5230417822
445	0.5230390863
446	0.5230444495
447	0.5230357094
448	0.5230454735
449	0.5229918589
450	0.5229946074
451	0.5229911374
452	0.5229850305
453	0.5229789438
454	0.5229770553
455	0.5229717238
456	0.5229787114
457	0.5229710628
458	0.5229809901
459	0.5229756086
460	0.5229689975
461	0.5229551847
462	0.5229600908
463	0.5229542431
464	0.5229630727
465	0.5229120808
466	0.5229189133
467	0.5229133778
468	0.5229072398
469	0.5228931668
470	0.5228995622
471	0.5228939501
472	0.5228883657
473	0.5228955229
474	0.5228934782
475	0.5228399445
476	0.5228339138
477	0.5228282908
478	0.522823554
479	0.5228229851
480	0.5228154063
481	0.5228128315
482	0.5228193295
483	0.5228143788
484	0.5228119765
485	0.5227696392
486	0.5227672099
487	0.5227589787
488	0.52275558
489	0.5227499003
490	0.5227483612
491	0.522751965
492	0.5227499486
493	0.5227574412
494	0.5227549824
495	0.5227499769
496	0.5227456816
497	0.5227540112
498	0.5227369732
499	0.5227334355
