iter	Passed	Remaining
398	272912	69083
399	273750	68437
400	274258	67709
401	274757	66980
402	275361	66278
403	275896	65559
404	276454	64847
405	276935	64117
406	277726	63460
407	278237	62739
408	278795	62030
409	279306	61311
410	279840	60598
411	280417	59895
412	280913	59175
413	281426	58460
414	282001	57759
415	282764	57096
416	283289	56386
417	283927	55698
418	284409	54981
419	284910	54268
420	285483	53570
421	286315	52920
422	286888	52223
423	287729	51574
424	288402	50894
425	288979	50198
426	289503	49493
427	290020	48788
428	290477	48074
429	291072	47383
430	291560	46676
431	292171	45990
432	292729	45295
433	293289	44601
434	293845	43907
435	294498	43229
436	295005	42529
437	295662	41851
438	296404	41186
439	296920	40489
440	297411	39789
441	298190	39129
442	298773	38442
443	299508	37775
444	300420	37130
445	300992	36443
446	301660	35767
447	302336	35092
448	303056	34422
449	303776	33752
450	304271	33058
451	305067	32396
452	305615	31708
453	306196	31024
454	306722	30335
455	307202	29642
456	307826	28963
457	308596	28299
458	309157	27615
459	309644	26925
460	310290	26250
461	310888	25570
462	311473	24890
463	312047	24210
464	312643	23532
465	313203	22851
466	313956	22185
467	314444	21500
468	314944	20817
469	315563	20142
470	316088	19461
471	316573	18779
472	317062	18098
473	317811	17432
474	318312	16753
475	318913	16079
476	319421	15401
477	320068	14731
478	320672	14058
479	321183	13382
480	321748	12709
481	322305	12036
482	322796	11361
483	323363	10689
484	323935	10018
485	324461	9346
486	324984	8675
487	325559	8005
488	326273	7339
489	326818	6669
490	327714	6006
491	328276	5337
492	328933	4670
493	329653	4003
494	330270	3336
495	330739	2667
496	331295	1999
497	331810	1332
498	332314	665
499	333030	0
