iter	Logloss
0	0.6896581812
1	0.6862324776
2	0.6827333227
3	0.6794969006
4	0.6761712131
5	0.6729289515
6	0.6699691264
7	0.6669537709
8	0.6638528469
9	0.6609379846
10	0.6581066478
11	0.6552948787
12	0.6524027639
13	0.6498141052
14	0.6471482505
15	0.6445629029
16	0.6420820605
17	0.6395717246
18	0.6372626083
19	0.6349683781
20	0.6327236862
21	0.6304915065
22	0.6282839888
23	0.6261097704
24	0.6240227499
25	0.6219578798
26	0.6198681353
27	0.6180003421
28	0.615992428
29	0.6142208719
30	0.6122346794
31	0.610502363
32	0.6087932594
33	0.6069290998
34	0.6052511617
35	0.6036308203
36	0.6020103783
37	0.6003748178
38	0.5989550274
39	0.5974174814
40	0.5958686511
41	0.5943357939
42	0.5928683077
43	0.5916213291
44	0.5901051698
45	0.5888954299
46	0.5874463901
47	0.5862550788
48	0.5850533461
49	0.5837059888
50	0.5825018593
51	0.5813769209
52	0.5802809674
53	0.5791542655
54	0.5779304168
55	0.5769521954
56	0.5759160839
57	0.5748892849
58	0.57385383
59	0.572831684
60	0.5718416672
61	0.5708611862
62	0.5699946654
63	0.5690761182
64	0.5680821989
65	0.5672865826
66	0.5663419403
67	0.5655586666
68	0.5646485843
69	0.5639000301
70	0.5630315329
71	0.5622966095
72	0.5615907504
73	0.5607740143
74	0.5600550028
75	0.5594110381
76	0.558732674
77	0.5579078276
78	0.5572480292
79	0.5566237841
80	0.5560365932
81	0.5553849606
82	0.554747636
83	0.5541318561
84	0.5535467674
85	0.5529691893
86	0.5523652569
87	0.5517829925
88	0.5512245146
89	0.5506754816
90	0.5502413357
91	0.5496980546
92	0.5491404763
93	0.5486238539
94	0.5482410361
95	0.5477331327
96	0.5471939329
97	0.5468501506
98	0.5463530837
99	0.5459669548
100	0.5454835924
101	0.5451501606
102	0.5446730374
103	0.5443276526
104	0.5438597468
105	0.5435361311
106	0.5430903466
107	0.542733676
108	0.542282352
109	0.5420111972
110	0.5416771616
111	0.5412421281
112	0.5409238043
113	0.5406361093
114	0.5402127833
115	0.5399011243
116	0.5396562882
117	0.5393584901
118	0.539055837
119	0.5386797
120	0.5383851975
121	0.5381026075
122	0.5378351742
123	0.5375877528
124	0.5373002824
125	0.5370493519
126	0.5368017988
127	0.5364463543
128	0.5361962938
129	0.5359267505
130	0.5356881484
131	0.535435174
132	0.5352230568
133	0.5349620432
134	0.5347386474
135	0.5344903518
136	0.5342618237
137	0.5340785499
138	0.5338386437
139	0.5336224742
140	0.5334179893
141	0.5333440743
142	0.5331445892
143	0.5329292426
144	0.5327578089
145	0.5325055609
146	0.5323186958
147	0.5321455359
148	0.5319301351
149	0.5318528215
150	0.5316711562
151	0.5314955886
152	0.5313089067
153	0.5312262064
154	0.5310430444
155	0.5308532866
156	0.5306779231
157	0.5305970004
158	0.5304177913
159	0.5301975573
160	0.5300194725
161	0.5299613585
162	0.5298080229
163	0.5296210902
164	0.5295391128
165	0.5293596716
166	0.5292022127
167	0.5291376396
168	0.5289443538
169	0.5288199446
170	0.5287596194
171	0.5285793837
172	0.5285438629
173	0.528398209
174	0.5282203552
175	0.5281830772
176	0.5280370115
177	0.5278826818
178	0.5278359886
179	0.5276678131
180	0.5276295426
181	0.5274515486
182	0.5274212153
183	0.5272887281
184	0.5271544202
185	0.5271191467
186	0.5269834801
187	0.5269570251
188	0.5268008893
189	0.5267641998
190	0.5266239061
191	0.5265970639
192	0.5264418385
193	0.526418562
194	0.5262667397
195	0.5262127188
196	0.5260861155
197	0.5260311362
198	0.5259955925
199	0.5258524129
200	0.5258062552
201	0.5256797493
202	0.5256627874
203	0.5255392201
204	0.5254946402
205	0.5254481087
206	0.525317369
207	0.5253077582
208	0.5251542363
209	0.5251193743
210	0.5250789056
211	0.5249549161
212	0.5249357032
213	0.5248828702
214	0.5247449728
215	0.5247313506
216	0.5246247421
217	0.5246111218
218	0.5245742755
219	0.5244525358
220	0.5244193763
221	0.524402845
222	0.5242847967
223	0.5242526222
224	0.5242105758
225	0.5240971465
226	0.5240881668
227	0.5240411973
228	0.523941018
229	0.5238948009
230	0.5238982295
231	0.5237539486
232	0.5237101507
233	0.5237174145
234	0.5236882615
235	0.523567208
236	0.5235675225
237	0.5235297708
238	0.5234263331
239	0.5234040339
240	0.5234030206
241	0.5233427743
242	0.5232426556
243	0.5232048179
244	0.5232164815
245	0.5231771884
246	0.5230731734
247	0.5230470656
248	0.5230552315
249	0.5230334388
250	0.5229328701
251	0.5229067797
252	0.52290628
253	0.522881252
254	0.5227488393
255	0.5227202133
256	0.5227269682
257	0.5227039467
258	0.5225943306
259	0.5225986218
260	0.5225668226
261	0.5225631863
262	0.5225290963
263	0.5224286806
264	0.5224285256
265	0.5224072541
266	0.5223930779
267	0.5223650257
268	0.5222665815
269	0.5222399851
270	0.522243911
271	0.5222280503
272	0.5222024396
273	0.5221035979
274	0.5220903688
275	0.5220757372
276	0.522079952
277	0.5220535552
278	0.5220434582
279	0.5219437688
280	0.5219277145
281	0.5219124568
282	0.5219169413
283	0.5218991694
284	0.5217725263
285	0.5217757013
286	0.5217445387
287	0.5217439402
288	0.5217434789
289	0.521721177
290	0.521609076
291	0.5216115524
292	0.5215788999
293	0.5215701199
294	0.521573417
295	0.5215420289
296	0.5215478674
297	0.5214327785
298	0.5214354797
299	0.5214075287
300	0.5213934596
301	0.5214062938
302	0.5213602809
303	0.5213659537
304	0.5212481832
305	0.521261746
306	0.5212143754
307	0.521241454
308	0.5212395672
309	0.521210119
310	0.5212216162
