iter	Passed	Remaining
0	362	725133
1	722	721416
2	1030	685962
3	1368	683052
4	1711	682774
5	2055	682967
6	2433	692805
7	2788	694388
8	3141	695001
9	3507	698055
10	3889	703227
11	4303	712867
12	4654	711487
13	5043	715498
14	5412	716293
15	5807	720087
16	6150	717485
17	6537	719891
18	6924	721961
19	7286	721347
20	7657	721636
21	8065	725145
22	8464	727548
23	8855	729086
24	9196	726487
25	9607	729441
26	10043	733889
27	10398	732324
28	10767	731806
29	11227	737301
30	11591	736250
31	12018	739145
32	12465	743017
33	12917	746913
34	13374	750896
35	13868	756605
36	14350	761359
37	14824	765433
38	15277	768162
39	15681	768390
40	16141	771247
41	16662	776792
42	17158	780901
43	17604	782615
44	18113	786926
45	18629	791334
46	19148	795662
47	19648	799058
48	20150	802310
49	20629	804559
50	21153	808377
51	21713	813408
52	22202	815635
53	22718	818725
54	23221	821201
55	23766	825044
56	24270	827320
57	24872	832810
58	25435	836787
59	25981	840054
60	26518	842936
61	27047	845452
62	27605	848753
63	28051	848550
64	28621	852053
65	29196	855555
66	29747	858224
67	30310	861177
68	30902	864808
69	31497	868436
70	32096	872030
71	32698	875590
72	33218	876876
73	33824	880347
74	34252	879160
75	34838	881956
76	35376	883495
77	35911	884898
78	36481	887088
79	36982	887587
80	37548	889574
81	38134	891982
82	38666	893047
83	39122	892354
84	39688	894149
85	40276	896381
86	40860	898461
87	41464	900906
88	41978	901366
89	42558	903177
90	43081	903755
91	43672	905738
92	44273	907846
93	44893	910295
94	45477	911936
95	46092	914161
96	46704	916275
97	47256	917164
98	47863	919068
99	48528	922035
100	49094	923068
101	49639	923690
102	50240	925296
103	50846	926977
104	51405	927739
105	51955	928339
106	52607	930710
107	53215	932261
108	53860	934397
109	54452	935598
110	55097	937657
111	55724	939357
112	56273	939725
113	56857	940640
114	57503	942551
115	58161	944623
116	58765	945772
117	59428	947834
118	60041	949062
119	60610	949568
120	61272	951498
121	61938	953448
122	62617	955553
123	63299	957653
124	63854	957819
125	64492	959199
126	65202	961609
127	65824	962680
128	66486	964314
129	67139	965769
130	67806	967404
131	68456	968761
132	69040	969161
133	69708	970723
134	70335	971670
135	71014	973320
136	71680	974753
137	72400	976879
138	73066	978256
139	73702	979195
140	74461	981731
141	75166	983522
142	75960	986420
143	76637	987776
144	77239	988127
145	77962	990016
146	78689	991921
147	79379	993315
148	80110	995202
149	80626	994395
150	81262	995056
151	81973	996619
152	82713	998506
153	83392	999629
154	84103	1001108
155	84881	1003348
156	85573	1004537
157	86230	1005294
158	86841	1005503
159	87472	1005933
160	88057	1005823
161	88623	1005498
162	89185	1005112
163	89709	1004309
164	90157	1002660
165	90614	1001123
166	91098	999906
167	91604	998926
168	92055	997353
169	92604	996856
170	93046	995220
171	93469	993384
172	93952	992206
173	94425	990921
174	94947	990168
175	95494	989671
176	96022	988973
177	96341	986144
178	96777	984532
179	97323	984044
180	97834	983206
181	98283	981751
182	98853	981512
183	99438	981413
184	99947	980562
185	100421	979377
186	100907	978312
187	101342	976768
188	101858	976006
189	102427	975753
190	103029	975811
191	103633	975879
192	104177	975381
193	104765	975292
194	105328	974966
195	105858	974330
196	106471	974459
197	106983	973659
198	107511	973007
199	108121	973095
200	108524	971317
201	109049	970645
202	109581	970036
203	110075	969095
204	110601	968439
205	111129	967799
206	111637	966984
207	112233	966933
208	112790	966542
209	113263	965435
210	113748	964438
211	114262	963685
212	114828	963373
213	115349	962686
214	115717	960721
215	116246	960108
216	116714	958997
217	117224	958227
218	117747	957571
219	118244	956706
220	118741	955843
221	119331	955729
222	119911	955526
223	120568	955934
224	121131	955595
225	121714	955407
226	122275	955040
227	122861	954868
228	123509	955175
229	124131	955270
230	124768	955481
231	125387	955536
232	126015	955662
233	126813	957065
234	127380	956709
235	128013	956843
236	128542	956207
237	129125	955964
238	129660	955360
239	130225	954983
240	130809	954747
241	131409	954621
242	131960	954135
